# radius_AU intensity_Jy_per_sr
4.372372372372372240e+01 2.441420436844266167e-07
4.382882882882883280e+01 2.347927480649831923e-07
4.393393393393393609e+01 2.257625065931398930e-07
4.403903903903903938e+01 2.170421055129685553e-07
4.414414414414414267e+01 2.086225288663041477e-07
4.424924924924925307e+01 2.004949569561569915e-07
4.435435435435435636e+01 1.926507647035471144e-07
4.445945945945945965e+01 1.850815199035528533e-07
4.456456456456456294e+01 1.777789813862825502e-07
4.466966966966967334e+01 1.707350970883461264e-07
4.477477477477477663e+01 1.639420020403072346e-07
4.487987987987987992e+01 1.573920162754639976e-07
4.498498498498499032e+01 1.510776426652083747e-07
4.509009009009009361e+01 1.449915646860747560e-07
4.519519519519519690e+01 1.391266441234722091e-07
4.530030030030030019e+01 1.334759187169748140e-07
4.540540540540541059e+01 1.280325997519073822e-07
4.551051051051051388e+01 1.227900696018477349e-07
4.561561561561561717e+01 1.177418792265243315e-07
4.572072072072072046e+01 1.128817456294725010e-07
4.582582582582583086e+01 1.082035492796717363e-07
4.593093093093093415e+01 1.037013315012605519e-07
4.603603603603603744e+01 9.936929183529086508e-08
4.614114114114114074e+01 9.520178537735857325e-08
4.624624624624625113e+01 9.119332009481154520e-08
4.635135135135135442e+01 8.733855412710832720e-08
4.645645645645645772e+01 8.363229307276713951e-08
4.656156156156156101e+01 8.006948726622561208e-08
4.666666666666667140e+01 7.664522904779200032e-08
4.677177177177177470e+01 7.335475002975044785e-08
4.687687687687687799e+01 7.019341836155219479e-08
4.698198198198198128e+01 6.715673599690485457e-08
4.708708708708709167e+01 6.424033596544548886e-08
4.719219219219219497e+01 6.143997965156445386e-08
4.729729729729729826e+01 5.875155408282542173e-08
4.740240240240240155e+01 5.617106923031385607e-08
4.750750750750751195e+01 5.369465532312598769e-08
4.761261261261261524e+01 5.131856017910016339e-08
4.771771771771771853e+01 4.903914655377862670e-08
4.782282282282282182e+01 4.685288950948202984e-08
4.792792792792793222e+01 4.475637380626910650e-08
4.803303303303303551e+01 4.274629131645135147e-08
4.813813813813813880e+01 4.081943846422790498e-08
4.824324324324324209e+01 3.897271369191116361e-08
4.834834834834835249e+01 3.720311495411045412e-08
4.845345345345345578e+01 3.550773724115158530e-08
4.855855855855855907e+01 3.388377013291313479e-08
4.866366366366366236e+01 3.232849538417651709e-08
4.876876876876877276e+01 3.083928454249434141e-08
4.887387387387387605e+01 2.941359659950111248e-08
4.897897897897897934e+01 2.804897567650585617e-08
4.908408408408408263e+01 2.674304874513002193e-08
4.918918918918919303e+01 2.549352338367468746e-08
4.929429429429429632e+01 2.429818556982941751e-08
4.939939939939939961e+01 2.315489751026138722e-08
4.950450450450451001e+01 2.206159550755806611e-08
4.960960960960961330e+01 2.101628786492773907e-08
4.971471471471471659e+01 2.001705282899902673e-08
4.981981981981981988e+01 1.906203657100151667e-08
4.992492492492493028e+01 1.814945120654832651e-08
5.003003003003003357e+01 1.727757285418786118e-08
5.013513513513513686e+01 1.644473973283574250e-08
5.024024024024024015e+01 1.564935029814991216e-08
5.034534534534535055e+01 1.488986141785985858e-08
5.045045045045045384e+01 1.416478658601702749e-08
5.055555555555555713e+01 1.347269417608687461e-08
5.066066066066066043e+01 1.281220573276341827e-08
5.076576576576577082e+01 1.218199430234554275e-08
5.087087087087087411e+01 1.158078280147761244e-08
5.097597597597597741e+01 1.100734242402070347e-08
5.108108108108108070e+01 1.046049108578845481e-08
5.118618618618619109e+01 9.939091906848736220e-09
5.129129129129129439e+01 9.442051731063958306e-09
5.139639639639639768e+01 8.968319682513984818e-09
5.150150150150150097e+01 8.516885758421608775e-09
5.160660660660661136e+01 8.086779458174613951e-09
5.171171171171171466e+01 7.677068448017963752e-09
5.181681681681681795e+01 7.286857260967597000e-09
